"minor","yr1972","yr1973","yr1974","yr1975","yr1976","yr1977","yr1978","yr1979","yr1980","yr1981","yr1982","yr1983","yr1984","yr1985","yr1986","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013"
11,111.590715323162,101.057066526536,116.571893810188,51.310330794744,71.0265648914742,192.8790128453,134.600810284666,106.950986602325,159.190029001831,198.028540738871,106.304128400676,132.482528214793,194.170738455074,108.923704638683,97.7122111487769,78.1926542356298,143.331816686672,170.894753310773,165.848810690935,170.944453745832,157.158940049532,128.337311011977,165.780617070739,202.845968658243,230.346105507813,253.526157254211,346.636262226461,270.337233094023,341.868873207764,294.877946621928,290.233203379667,354.938546529347,346.462719302251,287.480982724974,218.974460412644,244.571571802115,213.685311093849,223.399126912797,255.306091457254,189.477526044254,222.19470721304,141.538163230916
12,25.3982208332151,25.9141034481552,23.9184196193892,31.8006260848698,25.5769556737022,90.0019289272727,36.3231576295856,42.949982169047,103.272990833439,76.375862648277,36.8726946520785,75.7656988824762,103.755574902754,24.6117875350719,82.2013273104963,35.4294202129316,87.589008580697,51.3952033820619,46.0867786195954,71.6637342932976,55.5817445607081,34.6167005597393,55.9797520405557,102.693889950261,49.7061591394589,84.5240863532381,110.675929958603,227.297096647429,107.032066741788,99.3158014650548,64.7033871397139,70.1770640152461,57.9209329036435,46.7791818494823,38.6420365746729,74.92524348086,93.7894005274594,74.7952852648316,145.328181707297,53.8081237286376,128.228059819879,96.6653012689701
21,143.357630090927,80.1089555063124,54.2627687202555,90.6453743530262,34.5112823623743,96.716803657518,74.9874777256527,65.401010402771,80.9523907265569,78.3959994404551,44.9498801139566,97.7819666933937,41.9674236135045,81.8045211552575,161.870571837363,70.9110910124435,96.0777058359925,62.8446191166692,48.6444741869656,35.57644539825,42.1804562206796,73.7600971999096,25.9899780753683,50.2756952933353,32.1679236834476,85.5577683616706,71.5789560108503,121.64161869701,76.5944845667348,45.39063723225,71.4127905772537,57.308277596082,55.6085335256979,23.9459436925991,18.189707228032,49.1958403535165,82.7631678875456,109.634326292593,124.018971940912,82.2305863696078,132.719314270118,55.2471016807772
22,186.593323964648,172.282512745503,189.172955171533,168.015453606296,58.9346514188237,78.9433293696589,144.790069535135,208.090250688686,130.238303752709,113.50377310292,153.15733486003,157.159070450197,86.5830064054324,109.865831657313,137.514186643922,135.331421776558,199.359191219231,201.082566400398,241.390775056786,156.282183279136,159.424098379142,161.617595616343,154.548061897759,130.217323076109,169.253483129777,224.490058639013,179.138604285619,310.361879578296,280.931845528561,263.056423400051,321.412790577254,166.882642785098,198.515597616825,179.597695100818,164.056364648738,192.8167975765,227.23087352749,191.248507790252,188.581662753667,143.511183812979,228.484815008446,151.648748937772
23,251.927445108243,266.335607938869,136.42280421024,201.456913299555,144.368834209854,167.951630072162,167.042144710761,175.171667371008,170.680086156367,201.307404598654,127.02478880909,230.402958221739,143.456157671746,136.42280421024,259.766500808402,167.275601415451,212.516412780841,171.493597280544,197.815564126948,227.724827587336,197.383166767227,196.451626266043,224.751624194807,283.14841792034,161.726479380838,218.08051587603,233.419749932685,472.190194765294,382.628496887256,341.360172312734,382.993864207747,265.181523026934,258.999632857995,195.441478512225,193.935925723528,269.106888542426,229.813309016238,242.375754584056,257.727622278412,214.096074299626,246.380391278713,182.593284016611
31,786.891079936557,798.58886013566,688.372390790905,585.730002542413,611.639387509861,342.193896343928,359.861485134879,446.337132902056,462.9017275689,421.224144515638,331.579565105693,392.217745847625,314.176937154438,372.474378135395,298.748645974406,347.052521112988,286.144080314566,269.401583369641,383.357508963292,366.316393447731,322.156740320619,393.962668737822,473.978698521595,389.196991293413,417.338927586937,475.862097784903,482.985759217882,500.998554131409,428.028338879039,386.053999685317,362.787195455646,359.891766373702,328.466653754746,338.756218706611,498.580597211437,454.241942149372,446.92619170377,446.958123058897,349.276763191594,592.615420083831,733.59207590354,601.716467485481
41,967.551515332386,1003.97195437285,857.140468298392,917.020971363594,1083.03647643406,936.534663918622,657.505395144007,696.580131536363,712.679949383618,509.543330180858,603.939638907064,580.866962875923,453.849439296664,424.396559840748,531.113366729327,445.407163900751,444.832456805091,328.959668499477,432.237015713233,381.989667889104,457.779213862403,385.430273159466,521.058856544127,535.450209576775,674.25438379699,774.382488872601,728.851486284961,846.680919843905,698.013271556305,491.19864627419,345.048930502117,599.071769630298,494.399418447821,537.490495045958,624.729906758299,674.5810467483,603.930418502013,555.777158906795,486.067387865418,623.255658785798,842.648891996653,932.012484058167
51,1064.45746255089,640.766490560403,720.397672385962,920.603533278812,1198.0771464177,834.742308561013,741.984344655765,989.775302869057,969.893587746958,599.840329839519,837.201131634985,632.386024034237,559.834947089764,449.404433137026,560.395136489569,492.313245953445,462.23870362279,340.297723020416,467.458405127988,377.019024309415,508.638105134004,394.632242054588,432.868443426141,729.546907101087,812.464184864783,982.700060300345,1018.95742177012,1024.87263952646,1073.59975053949,794.711207842019,516.626068334493,884.939713874836,624.796112633854,629.910329984349,649.02493323011,736.591003833216,697.729232229089,695.661157115374,635.83279102287,818.248153839087,870.531323405723,812.758010426228
61,499.235476315408,296.799953627311,371.722267866143,427.321110882116,594.923197391162,268.278196723764,328.723429197074,410.096782851541,481.494218948134,363.894898831592,452.611074385015,380.186110689192,198.543863040622,254.362973881705,419.824583508813,299.624530807345,298.378552458673,278.665844500751,317.550077901515,269.825331455412,384.651315925739,294.447337942986,311.933286615438,480.793917985929,417.383868345289,486.456796686635,518.71027337482,572.738875239548,497.196395198342,512.938701441205,532.479337643276,598.896110482954,465.035797874911,486.628948498089,592.418516750198,454.382586114013,455.584460835708,477.892915886071,392.220825923731,533.103478763065,513.841814947705,552.078437888774
71,154.378006922503,160.593777868709,111.071252151509,142.244186235744,181.465720828966,164.37949782914,256.527584872583,206.289046900431,166.797876261916,159.775465624792,145.16636633734,127.602090488806,109.954270716321,92.4223783845896,96.4960427871482,155.018870591159,193.047143449354,127.621042096428,145.658062001013,179.993419192551,145.691705752799,155.609164231963,173.479806383301,163.789229029937,106.714380921554,160.820962994757,161.663392419161,216.6676396527,151.949479033931,133.639227801102,155.279467369967,129.332530576456,120.163433259469,88.3636830077555,103.949904058183,105.265596022869,108.478866481176,126.845137379678,82.8263941426164,90.8130808735683,46.2651249060814,104.648868818295
