"minor","yr1972","yr1973","yr1974","yr1975","yr1976","yr1977","yr1978","yr1979","yr1980","yr1981","yr1982","yr1983","yr1984","yr1985","yr1986","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013"
11,32.8277745753046,28.0922969579893,33.4577906981352,17.7626845912034,24.1664875036358,62.3291485020932,39.3841751843481,34.4697678271485,41.4700699969792,54.0892324939481,31.7462119076119,32.4963924448187,51.6170742313039,33.4450851665018,28.2457594553783,22.2137439428816,39.3606186306859,38.1684110206474,46.5188804081137,43.1709914255985,46.0819068821594,35.0996829346467,45.8319902871811,56.8645630423632,51.816067499805,59.78477676297,82.5257684907589,72.6677635717432,63.4792645774627,62.5660456373871,57.5930516482544,76.7168765218185,73.4994472754845,63.037672831119,50.8086149971656,59.1860546560221,52.4616223913528,54.7620566055065,60.6274657546785,49.2363202045416,60.7181920630159,43.5149218970631
12,9.36219476301674,6.72729252423372,9.96503862438314,13.6325789723194,8.48899307427,20.8121517763344,10.9656282851831,10.390063544603,23.5184244187761,22.1792093945209,11.6965607793827,22.0807577247918,27.1061404083757,6.62474199965117,32.506457798764,11.1305046511358,31.0841215266607,11.6714586328293,22.3185673252142,19.8986327898699,12.9229236842967,10.3910304743824,15.7499362973937,29.4176135975244,18.4533685732639,23.1775418371789,34.4649440569892,49.4678132990179,26.3186699342924,24.2053592056259,20.615547593127,19.2040254493231,16.5828726743504,20.6662907854151,14.7259465501097,20.9963862810925,28.1087217855194,21.0603800891125,31.2336054660814,15.6316868315826,24.8749931354739,22.3304082077689
21,49.0519447204133,40.359480172366,23.2170046377763,26.9441989308662,10.5672945277625,31.5754900755886,23.764349814789,21.1926901059981,26.3509002150491,26.8540601026503,15.4853202086912,32.6771460341561,10.8677056295578,25.3320999879953,51.1299770450122,19.9320431040509,27.3069732048223,26.5048470963321,24.0526282639002,13.0109034212924,13.3067657302075,31.427075896964,14.6235037042742,24.9250009833903,10.3968266893612,29.6948355801812,20.0042957050133,27.3957036773219,22.9070569549149,12.1052824052518,26.3144136716736,21.4890322472905,18.6838616411944,9.33986366032735,8.48141419365255,19.2841595704223,16.7719569077435,24.2510442395756,36.4323361932351,20.080308947006,27.1305187360218,19.3195942495636
22,62.0422243863779,63.9134303543477,79.1925060069455,65.8040984316848,14.2348531129664,21.7753698995252,42.3984547501859,46.5480253223947,43.2909546625302,31.0889975863456,52.2332391993548,36.7139334263022,27.2767007323509,18.7420674429797,35.0879681141487,30.8736321873283,53.193055499182,61.090317971301,49.8227112603051,25.3598297875244,36.0684979534751,31.0064598695101,27.5899539254319,35.3431271534755,44.1802156899607,42.2143496351313,33.9630534049597,60.2223441811304,60.5072893850158,52.1163415173826,70.3367485223321,36.2440104659339,39.5213200640305,48.7651825836494,41.1907317533676,38.4262431308214,47.9257215146906,37.3881329986245,40.9100947303065,28.4506265982974,42.8872004699366,30.5738337379251
23,94.6579529703618,95.252290550291,63.7146097152439,40.3661346919544,40.6409239488751,52.308918772351,83.1753000757975,67.1621943900077,50.9459675224639,88.0451658326847,37.6814534950017,122.344817050128,76.2696363890984,73.6406576015054,64.6832408157735,66.7452403436142,41.7543338712363,58.0912315428714,56.2457069356014,63.580481338606,42.3719400271306,43.1348294907608,40.3064590960128,85.0655420063594,39.3941076502494,58.0361280582267,74.6268168040622,121.814597132824,99.7673957124983,54.9535323614886,109.096963965256,75.1926722517529,57.24854655421,68.0662853678918,67.3012326562127,69.4247705813014,50.5713432117451,75.3558142677259,76.046114760034,59.4911080677988,59.4963870408864,41.5440945675806
31,93.7654534276297,124.05819284664,104.444077980997,76.1348891406938,98.6821630547899,57.9335953300816,45.3869075294281,67.805878396505,59.0359247657132,75.7504012164968,64.7531260177401,58.3425543627952,58.8602589793195,63.9132377146986,45.6886054517259,65.3120560179713,61.7560352990728,40.6571194461213,51.4734320323306,48.686654416597,61.2416111592089,51.7301502386709,66.4179630641135,63.2154145485893,50.3044201444839,67.1820470563371,75.627208658456,89.8082632841379,65.435043722124,59.1500441017046,63.3163068352979,55.6869633203819,65.0944571539244,56.3454677239937,49.6919552462918,53.6525226930665,46.9587776215523,55.2755244693653,35.224535108893,76.18486826415,92.7845642683817,74.3892406165922
41,135.94029255915,172.1495840516,139.573458544125,113.934301493537,119.116351121206,189.198161597967,93.702980658393,75.007299997307,85.9509389403788,99.0210917738534,86.493774628851,80.7547623720994,60.1525408687079,57.6805207443184,97.1882367535205,74.0990458397174,125.181040273266,65.0073315043821,91.9731625931457,83.3252645826813,58.6039932358874,62.9161175611521,59.7968717572402,68.064618141971,62.7182205406697,105.066490275483,77.1959077059956,96.3906569176319,67.6787004760675,61.7487770148468,81.5644780040529,81.322052044727,96.1800734654695,98.3147872032774,74.1770148401387,95.1626690930805,109.028528018364,76.0052561478377,54.3802463812098,93.2736229212669,78.618202774697,101.600315207848
51,194.337421500063,135.93768150386,151.710307393494,178.813282945711,174.671334639512,187.328457114901,89.5636523148303,172.68805775656,142.637567078088,124.544834136842,146.305511074091,87.7789451761912,115.952733029369,97.5104046920962,103.218451716835,101.987530414804,124.432966041645,77.4503119442705,99.9523074290281,68.3033530642058,87.8163898301896,89.0508303616616,81.5190144902354,128.002618876315,121.863233230116,156.594650520182,154.943294156716,162.103882693169,170.456584342487,120.274507967551,75.2004674377771,149.914844456295,101.226572321157,86.2615762834476,80.8411980053911,118.468675489732,123.26309328413,97.779059336817,97.2602526542329,122.147837732456,132.99553333837,112.269119415629
61,104.9108618978,73.1223365636484,107.242537878348,121.149789942469,149.218032436908,78.9003838985345,71.5895177655075,115.395305051218,104.569700042485,70.9698646433046,72.0423668802661,64.3174431338371,43.295350567326,56.9438091548551,88.6754216891632,68.3109420102262,64.9758783212322,53.7104965763081,61.3630394918136,47.2599742609463,59.6744009304018,61.6290433589671,88.4561813602685,121.047956939581,97.0126068467043,88.5396586211461,131.065197983749,103.170606059865,99.9412061387989,86.2993551701775,77.8639285902664,110.76714972754,62.5741931241404,74.2031952509248,108.841358614936,94.6862129695491,77.0634954927245,70.6046622587558,70.6620387241221,98.3147847960443,125.046911439067,85.1386159124269
71,39.9923350883827,46.2220526746583,34.3004736643877,36.7098588025563,56.7020823192325,47.0060084846871,52.3516029832615,44.8651448090119,47.6760628263731,32.6800611684664,39.686827199731,31.7887741982457,29.7642589060961,24.9846951125026,25.8376314424785,34.1030286117603,50.2692081105656,26.9157202328387,36.0068290946597,39.233322796048,32.9559910648688,32.904743502274,47.8460548192051,29.0758817893632,20.1416419857088,24.7621550757374,28.8682300248151,47.0168566037933,32.5938629705779,28.0488103347441,35.884436387389,30.2450155373817,24.4123112622355,19.2370267665959,26.2379765268333,20.8975627594425,19.3495540691236,23.9000193189889,17.896076337931,17.4588715525163,15.2141234714356,21.2889903289756
