"minor","yr1972","yr1973","yr1974","yr1975","yr1976","yr1977","yr1978","yr1979","yr1980","yr1981","yr1982","yr1983","yr1984","yr1985","yr1986","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013"
11,65.4775216138328,88.1376560999039,63.747646493756,81.9397694524496,91.2825168107589,112.441306436119,68.8658981748319,87.1616714697406,99.1126801152738,113.308549471662,91.3444764649376,71.7627281460134,84.3418828049952,100.914889529299,61.7012487992315,77.0330451488953,93.2683957732949,87.8345821325648,109.534390009606,116.309029779059,85.8795389048991,97.485590778098,82.014409221902,72.5304514889529,84.7658981748319,57.4400576368876,65.4544668587896,66.2419788664745,73.235446685879,105.700672430355,92.7374639769453,79.7537944284342,64.8832853025937,75.2261287223823,60.447358309318,45.340153698367,92.285590778098,99.2932756964457,57.807204610951,73.1633045148895,66.2733909702209,76.7384245917387
12,80.8744221879815,67.3617873651772,59.2906009244992,67.3936825885978,65.6078582434515,77.1312788906009,40.3224961479199,54.3693374422188,60.9197226502311,59.9372881355932,47.1486902927581,64.9938366718028,68.3326656394453,80.0640986132512,88.395531587057,63.6546995377504,58.8349768875193,47.5870570107858,63.7372881355932,72.4975346687211,87.715562403698,64.7331278890601,55.4417565485362,55.0640986132512,65.6929121725732,55.4006163328197,51.8449922958398,81.1063174114022,45.9796610169492,57.2189522342065,45.0489984591679,56.0832049306626,65.9160246533128,68.9824345146379,42.1451463790447,66.4012326656394,52.7375963020031,82.0277349768875,47.7434514637904,74.4693374422188,80.9884437596302,67.8451463790447
21,65.26725,61.95375,60.854,50.9055,69.63325,137.16525,47.5395,45.45675,49.31925,60.1185,35.692,57.97,56.74225,61.018,56.74325,55.00125,43.523,38.65675,33.29675,54.716,62.4265,42.10575,34.70275,53.80675,46.159,37.768,43.06525,67.7895,32.26625,43.19525,24.72225,33.8285,46.28075,51.63,47.81975,36.87725,44.8505,37.93425,32.38275,42.35475,79.20775,59.679
22,114.139634146341,81.4542682926829,128.931707317073,72.440243902439,72.5634146341463,63.1481707317073,68.7353658536585,96.3774390243902,55.2676829268293,67.2737804878049,101.424390243902,74.8932926829268,57.7225609756098,65.284756097561,89.4481707317073,84.4591463414634,91.7567073170732,77.0792682926829,90.2798780487805,53.6109756097561,73.9713414634146,51.4079268292683,114.60243902439,74.7359756097561,89.5231707317073,92.3201219512195,55.1890243902439,90.3378048780488,52.6506097560976,56.6170731707317,71.6067073170732,126.098780487805,77.6317073170732,96.2323170731707,74.330487804878,104.921951219512,88.5993902439024,102.751829268293,57.0542682926829,92.7256097560976,85.5207317073171,78.5335365853659
23,103.749166666667,62.055,103.735,70.565,67.015,54.0916666666667,67.5775,81.4266666666667,43.7925,63.5683333333333,69.7,63.3633333333333,52.2633333333333,74.5925,75.985,81.2258333333333,83.745,49.6408333333333,75.1758333333333,64.0116666666667,76.59,56.0166666666667,96.9733333333333,67.08,76.4566666666667,73.195,52.8741666666667,59.0691666666667,42.325,42.1058333333333,46.1425,73.4433333333333,74.6366666666667,67.9716666666667,56.84,71.635,66.6533333333333,78.6775,53.1383333333333,60.0525,60.8825,57.0958333333333
31,146.73125,94.6678571428571,171.409821428571,110.898214285714,86.9901785714286,62.4544642857143,116.394642857143,97.6776785714286,91.2107142857143,61.6919642857143,138.077678571429,102.173214285714,88.75625,79.86875,92.2848214285714,73.9419642857143,77.7321428571429,112.677678571429,105.310714285714,94.9946428571429,72.8473214285714,88.1660714285714,96.7705357142857,70.1205357142857,102.88125,106.952678571429,93.0491071428571,113.654464285714,99.2026785714286,69.425,105.433035714286,143.13125,72.45,87.9125,85.0973214285714,101.153571428571,74.7428571428571,76.7294642857143,70.6964285714286,104.683035714286,95.3803571428572,81.3526785714286
41,79.3866666666667,75.8625,109.39,112.176666666667,73.5491666666667,39.1283333333333,76.6575,78.9775,65.6941666666667,52.0108333333333,80.035,68.2741666666667,48.2683333333333,82.3391666666667,61.0825,58.4725,53.0333333333333,57.1316666666667,68.4991666666667,91.3525,53.9375,67.2891666666667,68.84,65.5091666666667,65.36,75.5366666666667,59.9366666666667,86.1375,71.66,36.2358333333333,51.5258333333333,95.9083333333333,69.7258333333333,76.895,75.5366666666667,64.3191666666667,65.7525,64.4125,85.0141666666667,71.1558333333333,79.7341666666667,57.6741666666667
51,93.2260273972603,89.5246575342466,105.447945205479,131.386301369863,101.215068493151,50.1986301369863,57.1986301369863,100.231506849315,71.4219178082192,64.5164383561644,58.5041095890411,75.9835616438356,72.9986301369863,75.5287671232877,76.6808219178082,72.8232876712329,91.8260273972603,52.7657534246575,99.9383561643836,97.9424657534247,59.0164383561644,59.5041095890411,55.972602739726,125.321917808219,76.1958904109589,85.5178082191781,75.6315068493151,86.2917808219178,74.6082191780822,45.5438356164384,68.5616438356164,84.6780821917808,94.0109589041096,69.8520547945206,114.916438356164,74.7520547945205,59.5506849315069,85.0904109589041,103.260273972603,75.6890410958904,89.5356164383562,69.4739726027397
61,88.9014084507042,63.9070422535211,129.129577464789,146.5,122.122535211268,55.5098591549296,64.8521126760563,140.971830985915,70.9464788732394,56.8014084507042,72.9845070422535,79.0338028169014,99.2845070422535,59.5366197183099,127.130985915493,81.0014084507042,86.7352112676056,70.5450704225352,123.119718309859,102.616901408451,89.9845070422535,62.0859154929577,48.8774647887324,124.307042253521,107.294366197183,92.8985915492958,97.4985915492958,74.087323943662,83.9915492957746,61.7859154929577,69.6915492957746,72.530985915493,125.349295774648,84.5366197183099,101.852112676056,83.3070422535211,63.3014084507042,125.359154929577,89.5295774647887,100.878873239437,86.2281690140845,80.1915492957746
71,84.1578767123288,68.1554794520548,68.6150684931507,60.2143835616438,64.652397260274,62.2965753424658,58.0291095890411,76.8297945205479,44.9712328767123,69.2,50.0191780821918,65.9359589041096,65.3654109589041,91.7873287671233,81.327397260274,89.7650684931507,78.1821917808219,55.0328767123288,65.9335616438356,57.1006849315068,78.3243150684931,43.4044520547945,62.6616438356164,70.9017123287671,55.6808219178082,60.3599315068493,54.3349315068493,64.661301369863,54.8352739726027,62.1205479452055,56.6414383561644,59.5801369863014,83.825,96.1602739726027,66.5897260273973,71.9640410958904,80.2996575342466,69.502397260274,51.9869863013699,30.8482876712329,64.1958904109589,33.2219178082192
