"minor","yr1972","yr1973","yr1974","yr1975","yr1976","yr1977","yr1978","yr1979","yr1980","yr1981","yr1982","yr1983","yr1984","yr1985","yr1986","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013"
11,-17.3411623439001,-12.2334774255524,-12.4560999039385,-11.9085014409222,-11.2081652257445,-14.2851104707012,-9.97901056676273,-10.2112872238232,-9.38352545629203,-8.00283381364073,-12.1560518731988,-10.1793467819404,-11.062199807877,-14.3301152737752,-14.7945725264169,-11.2725264169068,-9.98515850144092,-10.1037944284342,-8.25417867435159,-10.1465417867435,-11.3457732949087,-8.0350144092219,-11.84265129683,-11.0317483189241,-9.83924111431316,-11.3915946205572,-6.45773294908742,-12.3245437079731,-10.0045148895293,-11.136023054755,-10.3969740634006,-10.2668587896254,-10.5912103746398,-9.27848222862632,-13.547790585975,-12.7791546589817,-11.1286263208453,-12.4795389048991,-10.4567243035543,-11.1963016330451,-12.4778578290106,-13.0919308357349
12,-16.9238058551618,-13.6379815100154,-16.7984591679507,-13.2156394453005,-12.712249614792,-14.1484591679507,-12.5610169491525,-14.4376733436055,-13.1315100154083,-12.0617873651772,-15.0084745762712,-14.4212634822804,-11.5172573189522,-14.2644838212635,-16.5182588597843,-14.4208782742681,-10.4237288135593,-13.8814329738059,-9.39730354391371,-12.2338983050847,-12.1758089368259,-10.1708012326656,-11.4932203389831,-12.4388289676425,-13.4683359013867,-14.6336671802773,-8.61941448382126,-12.2071648690293,-12.8227272727273,-13.1557010785824,-14.9964560862866,-12.5540061633282,-14.0159476117103,-10.1785824345146,-14.4661787365177,-15.0562403697997,-13.3409090909091,-15.1782742681048,-8.77842835130971,-15.0395993836672,-13.6646379044684,-15.8777349768875
21,-15.324375,-12.99625,-16.850125,-12.098625,-11.117125,-11.938375,-10.48875,-12.782125,-7.736,-8.9965,-12.902375,-11.55025,-8.12925,-9.93,-11.59225,-10.0915,-10.651375,-15.705625,-10.102375,-12.72,-12.204125,-10.067625,-11.79875,-13.558875,-14.222,-14.9155,-9.258875,-9.3375,-12.084,-12.665125,-16.568125,-12.46325,-14.96375,-10.3815,-10.40325,-13.324,-15.103,-14.30825,-6.315625,-14.056,-12.759625,-15.18425
22,-5.65457317073171,-2.06371951219512,-6.81006097560976,-5.48689024390244,-2.37926829268293,-1.13140243902439,-3.1609756097561,-5.8125,-1.00030487804878,-2.15,-7.30396341463415,-5.18048780487805,-1.75823170731707,-1.76646341463415,-3.15853658536585,-3.77439024390244,0.125,-6.43658536585366,-1.53140243902439,-2.68292682926829,-0.7625,-0.285975609756098,-0.4875,-5.19024390243902,-5.81067073170732,-6.00823170731707,-0.918292682926829,-1.51981707317073,-2.29176829268293,-2.84390243902439,-9.43445121951219,-5.17896341463415,-2.7,-0.367073170731707,-2.43201219512195,-4.69481707317073,-4.56158536585366,-5.12560975609756,0.91859756097561,-5.14146341463415,-2.28658536585366,-5.76524390243902
23,-5.32916666666667,-1.32625,-7.0925,-6.19833333333333,-2.5275,-1.67708333333333,-3.73208333333333,-6.76166666666667,-1.40791666666667,-2.43583333333333,-7.70541666666667,-3.98541666666667,-1.07583333333333,-1.9975,-2.78041666666667,-3.13125,-1.0525,-7.22583333333333,-2.1275,-3.24625,-1.21291666666667,0.0270833333333333,-1.72458333333333,-5.2275,-6.85041666666667,-6.06958333333333,-1.00333333333333,-0.786666666666667,-2.47791666666667,-2.74458333333333,-10.2720833333333,-5.04666666666667,-3.3425,-1.15125,-0.51875,-3.82791666666667,-5.79291666666667,-5.63458333333333,0.898333333333333,-5.67958333333333,-2.88875,-7.14916666666667
31,-1.35848214285714,0.0875,-2.11205357142857,-4.89107142857143,-0.311160714285714,1.37008928571429,-0.933928571428571,-1.77901785714286,-0.597321428571429,0.944196428571429,-4.24598214285714,-0.729017857142857,-0.616517857142857,-0.883928571428571,0.453571428571429,0.283035714285714,1.40580357142857,-3.56160714285714,-0.0785714285714286,-1.10580357142857,2.29508928571429,-0.0303571428571428,1.48169642857143,-1.52455357142857,-2.33794642857143,-2.875,-0.0450892857142857,0.0254464285714286,0.0290178571428571,0.0848214285714286,-7.04151785714286,-1.72946428571429,1.771875,1.40848214285714,0.0602678571428572,0.358928571428571,-1.78080357142857,-3.01651785714286,1.29776785714286,-4.34508928571429,0.644196428571429,-2.89553571428571
41,-1.20916666666667,0.860833333333333,-3.51666666666667,-5.52625,0.0254166666666667,2.26125,-0.526666666666667,-3.14833333333333,0.200416666666667,2.155,-3.87,-0.747083333333333,0.682916666666667,0.729583333333333,1.645,1.77916666666667,1.60208333333333,-2.97416666666667,0.849583333333333,0.06875,2.5975,1.18125,1.54791666666667,-1.91125,-3.34583333333333,-2.90041666666667,0.28625,0.734583333333333,0.930833333333333,0.842916666666667,-7.18333333333333,-1.37166666666667,1.21708333333333,1.25791666666667,0.5775,0.425,-1.85083333333333,-3.43416666666667,2.25125,-4.02208333333333,1.93375,-5.63416666666667
51,-3.55342465753425,-0.215068493150685,-5.81232876712329,-6.17465753424658,-2.30547945205479,1.13013698630137,-2.5541095890411,-6.31027397260274,-1.40753424657534,1.18630136986301,-4.29109589041096,-4.18013698630137,-0.83013698630137,-0.0280821917808219,-0.423287671232877,0.871917808219178,-1.31095890410959,-4.48219178082192,-1.11917808219178,-1.29041095890411,-0.249315068493151,0.121917808219178,0.0815068493150685,-4.65342465753425,-6.10753424657534,-5.18972602739726,-1.01849315068493,0.151369863013699,0.466438356164384,-1.38219178082192,-7.78082191780822,-3.13150684931507,-1.87534246575342,-0.887671232876712,-0.36027397260274,-1.33561643835616,-3.30342465753425,-4.63356164383562,1.94931506849315,-4.78767123287671,1.22465753424658,-7.65821917808219
61,-3.17253521126761,0.582394366197183,-5.41408450704225,-5.25915492957746,-2.22112676056338,1.63450704225352,-2.70070422535211,-5.94225352112676,-1.60352112676056,0.985915492957746,-3.59647887323944,-3.00704225352113,-0.96830985915493,0.511267605633803,-0.77112676056338,0.852112676056338,-1.11549295774648,-4.60211267605634,-1.52253521126761,-0.546478873239437,-1.64014084507042,-0.661971830985915,-0.336619718309859,-4.03028169014085,-6.75845070422535,-5.15985915492958,-0.272535211267606,0.788732394366197,1.05633802816901,-1.35774647887324,-6.23591549295775,-2.6443661971831,-1.63802816901408,-0.776760563380282,0.557042253521127,-0.898591549295775,-3.12183098591549,-3.46056338028169,2.97042253521127,-3.84718309859155,2.50352112676056,-6.85704225352113
71,-10.5878424657534,-7.4666095890411,-12.610102739726,-10.7056506849315,-8.29503424657534,-6.86198630136986,-10.6979452054795,-13.0080479452055,-6.87825342465753,-8.20993150684932,-12.3941780821918,-9.65222602739726,-6.92106164383562,-8.44383561643836,-9.1152397260274,-7.64469178082192,-8.72277397260274,-13.3693493150685,-8.12688356164383,-8.9291095890411,-8.25496575342466,-5.79674657534247,-8.29914383561644,-10.4931506849315,-12.4184931506849,-11.1383561643836,-6.10205479452055,-5.12568493150685,-7.80753424657534,-7.75958904109589,-14.3426369863014,-9.54332191780822,-10.7904109589041,-7.52208904109589,-4.76489726027397,-9.24880136986301,-12.348801369863,-10.8993150684932,-2.92106164383562,-11.077397260274,-8.33869863013699,-12.3546232876712
